,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
127870,1.0,1000.0,2.0703750000000003,4.54,8.065822727215544,0.0,2.44,70.52499999999998,0.0,0.0,6.93,16.0
127871,1.0,1000.0,0.0,0.5,8.732387589289432,0.0,1.54,61.85,0.0,0.0,0.0,16.0
127883,1.0,1000.0,0.0,0.0,10.084377160132778,0.0,0.64,58.51875,0.0,0.0,0.0,16.0
127885,1.0,1000.0,0.0,0.0,8.675437702934996,0.0,1.54,69.6375,0.0,0.0,0.0,16.0
127886,1.0,1000.0,0.0,0.0,7.9813841790813775,0.0,2.98,61.33750000000001,0.0,0.0,0.31,16.0
127889,1.0,1000.0,0.0,4.47,8.289767039670789,0.0,2.23,53.1125,0.0,0.0,2.45,16.0
127896,1.0,1000.0,0.0,0.26,8.049615043699813,0.0,2.25,55.93749999999999,0.0,0.0,0.12,16.0
127900,1.0,1000.0,0.0,0.0,7.534646318922772,0.0,3.0,71.25,0.0,0.0,0.0,16.0
127903,1.0,1000.0,0.0,0.0,7.9679060391209,0.0,2.37,66.37500000000001,0.0,0.0,1.96,16.0
127904,1.0,1000.0,0.0,0.0,8.905178802192069,0.0,2.14,64.12500000000001,0.0,0.0,0.0,16.0
127910,1.0,1000.0,0.0,0.0,6.967409281211292,0.0,2.9,62.875,0.0,0.0,0.0,16.0
127911,1.0,1000.0,0.0,2.81,8.01068379490958,0.0,2.09,71.27499999999998,0.0,0.0,0.3,16.0
127912,1.0,1000.0,0.0,0.24,7.881404085632687,0.0,2.54,54.5625,0.0,0.0,0.72,16.0
127914,1.0,1000.0,0.0,0.0,8.371498845228464,0.0,2.69,60.325,0.0,0.0,0.0,16.0
127916,1.0,1000.0,2.74275,2.74,7.96865371265972,0.0,1.64,48.2375,0.0,0.0,0.0,16.0
127917,1.0,1000.0,0.77825,2.07,10.192669392182706,0.0,1.27,70.325,0.0,0.0,0.0,16.0
127918,1.0,1000.0,0.0,0.0,8.386365774125544,0.0,2.12,61.865375,0.0,0.0,2.72,16.0
127922,1.0,1000.0,0.0,0.0,8.461203123250279,0.0,1.33,75.87500000000001,0.0,0.0,1.04,16.0
127928,1.0,1000.0,0.0,0.0,7.64522718697251,0.0,3.0,78.9375,0.0,0.0,0.0,16.0
127929,1.0,1000.0,0.0,0.0,8.402675544405229,0.0,2.65,61.4375,0.0,0.0,0.0,16.0
127930,1.0,1000.0,1.310375,1.31,9.19007858824062,1.310375,1.47,63.325,0.0,0.0,0.11,16.0
127931,1.0,1000.0,0.0,0.33,7.823592565105712,0.0,2.1,72.28750000000002,0.0,0.0,0.15,16.0
127932,1.0,1000.0,0.0,0.0,6.931716443547151,0.0,3.0,65.9375,0.0,0.0,0.0,16.0
127938,1.0,1000.0,0.0,0.0,7.995061244545747,0.0,3.0,57.9875,0.0,0.0,0.0,16.0
127946,1.0,1000.0,0.0,0.0,9.184743212410146,0.0,1.1,45.7125,0.0,0.0,0.0,16.0
127951,1.0,1000.0,0.0,0.0,8.208076202829282,0.0,2.32,67.78750000000001,0.0,0.0,0.0,16.0
127957,1.0,1000.0,0.0,0.0,8.048890500706882,0.0,2.73,42.27500000000001,0.0,0.0,0.0,16.0
127960,1.0,1000.0,0.0,4.12,8.219510875712468,0.0,2.29,45.5,0.0,0.0,1.1,16.0
127964,1.0,1000.0,0.0,0.0,7.744945499135403,0.0,3.0,56.325,0.0,0.0,0.0,16.0
127965,1.0,1000.0,0.0,0.48,12.297616520271545,0.0,0.63,69.26249999999999,0.0,0.0,0.02,16.0
127976,1.0,1000.0,0.0,0.0,7.892439405108825,0.0,2.39,65.38749999999999,0.0,0.0,0.0,16.0
127977,1.0,1000.0,0.0,0.0,8.84560135618935,0.0,2.31,63.41250000000001,0.0,0.0,0.0,16.0
127979,1.0,1000.0,0.0,0.0,8.601336135130847,0.0,1.56,56.2375,0.0,0.0,0.0,16.0
127980,1.0,1000.0,1.5465,2.07,7.895387364496414,0.0,2.55,61.575,0.0,0.0,2.99,16.0
127982,1.0,1000.0,0.0,0.58,8.25141460533762,0.0,2.92,56.37500000000002,0.0,0.0,0.33,16.0
127985,1.0,1000.0,0.0,0.0,7.898204565586954,0.0,2.19,45.6125,0.0,0.0,0.0,16.0
127986,1.0,1000.0,2.1641250000000003,4.23,10.793525078814142,2.1641250000000003,1.01,73.78750000000002,0.0,0.0,0.0,16.0
127990,1.0,1000.0,1.176875,1.18,9.193169529860532,1.176875,1.3,71.9375,0.0,0.0,0.0,16.0
127991,1.0,1000.0,0.0,0.0,9.611974518569731,0.0,1.1,51.4625,0.0,0.0,0.0,16.0
127993,1.0,1000.0,0.0,0.0,7.886395816342043,0.0,3.0,55.45,0.0,0.0,0.0,16.0
127995,1.0,1000.0,0.625,2.74,7.959913149375553,0.0,1.56,47.15000000000001,0.0,0.0,0.0,16.0
127996,1.0,1000.0,0.0,0.0,7.8028875740055215,0.0,2.38,58.2625,0.0,0.0,0.0,16.0
127998,1.0,1000.0,0.0,0.0,7.2124197495369184,0.0,2.49,87.125,0.0,0.0,0.0,16.0
128001,1.0,1000.0,0.0,0.0,7.994973224488666,0.0,3.0,80.4125,0.0,0.0,0.0,16.0
128006,1.0,1000.0,0.0,0.0,6.960813927899575,0.0,3.0,81.44999999999997,0.0,0.0,0.0,16.0
128009,1.0,1000.0,3.0354999999999994,3.04,8.75661338115733,1.7251249999999998,1.69,74.1875,0.0,0.0,0.0,16.0
128013,1.0,1000.0,0.0,2.74,7.980471178814013,0.0,3.0,57.675,0.0,0.0,0.0,16.0
128024,1.0,1000.0,0.0,0.0,8.124573323363999,0.0,2.31,82.275,0.0,0.0,0.0,16.0
128025,1.0,1000.0,0.0,0.0,8.543411626411162,0.0,1.55,70.98750000000003,0.0,0.0,0.0,16.0
128026,1.0,1000.0,0.0,2.07,7.39692834530268,0.0,2.94,74.71249999999998,0.0,0.0,1.71,16.0
128031,1.0,1000.0,0.0,0.0,7.954563244612531,0.0,3.0,65.75,0.0,0.0,0.21,16.0
128034,1.0,1000.0,2.469625,4.54,10.08878852470406,0.3055,1.35,90.5875,0.0,0.0,0.0,16.0
128038,1.0,1000.0,0.0,0.0,9.115824139884928,0.0,1.24,64.35,0.0,0.0,0.0,16.0
128039,1.0,1000.0,3.14375,3.14,8.187855056034943,1.966875,1.78,81.36249999999998,0.0,0.0,0.0,16.0
128042,1.0,1000.0,0.0,0.0,7.873874055248566,0.0,3.0,64.6375,0.0,0.0,0.0,16.0
128043,1.0,1000.0,0.0,0.0,12.123454839433036,0.0,0.63,77.375,0.0,0.0,0.0,16.0
128046,1.0,1000.0,0.0,0.0,8.167201474756277,0.0,2.31,56.3375,0.0,0.0,0.07,16.0
128047,1.0,1000.0,0.0,0.0,8.264182692603592,0.0,1.46,91.1625,0.0,0.0,0.69,16.0
128051,1.0,1000.0,0.0,0.0,7.752459840289442,0.0,3.0,88.375,0.0,0.0,0.0,16.0
128052,1.0,1000.0,0.0,0.0,8.287759092160805,0.0,1.48,61.42499999999999,0.0,0.0,0.0,16.0
128058,1.0,1000.0,0.0,0.0,7.6752995083250495,0.0,3.0,69.80000000000001,0.0,0.0,0.0,16.0
128061,1.0,1000.0,0.0,0.0,7.9645378797621476,0.0,2.79,59.3,0.0,0.0,0.0,16.0
128065,1.0,1000.0,0.0,0.0,8.426163493179219,0.0,2.51,74.0125,0.0,0.0,0.0,16.0
128066,1.0,1000.0,0.0,0.0,8.395486980430821,0.0,2.63,65.1875,0.0,0.0,0.0,16.0
128067,1.0,1000.0,0.0,0.0,7.850483743937397,0.0,2.41,74.7625,0.0,0.0,0.0,16.0
128073,1.0,1000.0,0.0,0.0,8.316654510120571,0.0,2.69,76.15,0.0,0.0,0.0,16.0
